customer_id,name,city,age
101,Rahul,Delhi,25
102,Amit,Mumbai,30
103,Priya,Pune,28
104,Sneha,Chennai,
105,Vikram,Hyderabad,35
106,Anjali,Kolkata,29
103,Priya,Pune,28
107,Karan,,32
108,Neha,Ahmedabad,27
109,Suresh,Jaipur,
110,Divya,Lucknow,24
111,Sunita,Kanpur,26
112,Kartik,Varanasi,
113,Alok,Mumbai,54
114,Ravi,Delhi,30
115,Jyoti,Nagpur,41
116,Harish,Nashik,22
117,Kartik,Meerut,38
118,Rachna,Faridabad,24
107,Karan,,32
119,Kriti,Pune,49
120,Anamika,Nashik,37
121,Monica,Patna,35
122,Harish,Thane,23
123,Vijay,Rajkot,33
124,Mayank,Ludhiana,51
125,Kavita,Surat,55
126,Sapna,Rajkot,28
127,Kriti,Ahmedabad,30
128,Komal,Meerut,49
129,Shreya,Delhi,27
130,Kartik,Agra,47
131,Rajesh,Surat,31
132,Manish,Ghaziabad,52
133,Kiran,Patna,53
134,Sameer,Mumbai,43
135,Megha,Kanpur,25
136,Tanvi,Jaipur,50
137,Deepak,Varanasi,54
138,Yash,Ghaziabad,43
139,Priyanka,Kanpur,41
134,Sameer,Mumbai,43
140,Alok,,23
141,Vijay,Kolkata,37
142,Aditi,Dhanbad,50
143,Arjun,Varanasi,46
144,Tushar,Pune,41
145,Manish,Indore,28
146,Preeti,Kolkata,55
147,Kavita,Delhi,35
148,Tanvi,Rajkot,30
149,Harish,Aurangabad,55
150,Tanvi,Vadodara,23
151,Kartik,Ludhiana,57
152,Priyanka,Navi Mumbai,31
153,Rohan,Kanpur,56
154,Sameer,,57
155,Abhishek,Nagpur,40
156,Swati,Ghaziabad,24
138,Yash,Ghaziabad,43
157,Manish,Nagpur,28
158,Rohan,Faridabad,48
159,Payal,Delhi,55
160,Ashish,Jaipur,26
161,Kiran,Nagpur,33
162,Gaurav,Surat,23
163,Komal,Bangalore,
164,Ankit,Patna,55
165,Shreya,,29
166,Anamika,Lucknow,22
167,Vijay,Nagpur,26
168,Shreya,Kalyan,29
169,Ritu,Bhopal,21
170,Jyoti,Kalyan,35
171,Yash,Bangalore,34
172,Divya,Thane,32
173,Preeti,Visakhapatnam,52
174,Kartik,Mumbai,36
175,Gaurav,,42
176,Abhishek,Navi Mumbai,56
177,Vijay,Delhi,54
178,Sapna,Indore,24
179,Jyoti,Ahmedabad,39
180,Ashish,Rajkot,55
181,Nikhil,Meerut,31
182,Megha,Delhi,33
183,Nisha,Ludhiana,48
184,Varun,Patna,38
185,Ankit,Hyderabad,35
186,Alok,Lucknow,
187,Pranav,Kolkata,60
188,Payal,Amritsar,29
189,Rajesh,Pune,34
190,Yash,Chennai,27
191,Divya,Ludhiana,48
192,Tushar,Varanasi,55
193,Deepak,Dhanbad,35
194,Preeti,Amritsar,37
195,Payal,Visakhapatnam,54
196,Kiran,Lucknow,24
197,Jyoti,Kalyan,46
198,Nisha,Mumbai,56
199,Rajesh,Ghaziabad,46
200,Sapna,Thane,37
201,Sunita,Rajkot,49
202,Rachna,Rajkot,21
203,Komal,Aurangabad,36
204,Aditi,Agra,44
205,Nikhil,Hyderabad,54
206,Vikash,Kolkata,22
207,Ritu,Mumbai,35
208,Ashish,Nagpur,36
209,Deepak,Ahmedabad,30
210,Manish,Ghaziabad,44
211,Payal,Kanpur,39
212,Sameer,Bangalore,47
213,Rohan,Agra,
214,Tanvi,Faridabad,49
215,Komal,Visakhapatnam,54
216,Divya,Visakhapatnam,35
217,Kriti,Srinagar,49
218,Ashish,Mumbai,40
219,Aditi,Surat,58
220,Preeti,Indore,46
221,Ritu,Amritsar,21
222,Alok,Kanpur,57
223,Shreya,Varanasi,55
224,Yash,Ghaziabad,27
225,Abhishek,Bhopal,50
226,Nisha,Vadodara,32
227,Anamika,Delhi,28
228,Aisha,Jaipur,51
229,Rajesh,Dhanbad,41
230,Aisha,Dhanbad,24
231,Rohan,Chennai,56
232,Kriti,Ahmedabad,46
233,Rachna,Meerut,48
234,Nisha,Ghaziabad,23
235,Sapna,Nagpur,36
236,Deepak,Kolkata,46
237,Sameer,Bangalore,38
238,Divya,Thane,60
239,Arjun,Thane,37
240,Rohan,Ghaziabad,56
241,Ravi,Ghaziabad,37
242,Tanvi,Bangalore,40
243,Sunita,Mumbai,37
244,Shalini,Srinagar,31
245,Komal,Amritsar,50
246,Jyoti,Pune,41
